简介（方式·小区名 户型 朝向）,区,地铁站,村,面积大小（㎡）,朝向,户型,楼层类型,楼层（层）,标签
整租·海苑大厦 2室2厅 东南,浦东,洋泾,海苑大厦,91,东南,2室2厅1卫,中楼层                        ,25,"近地铁,随时看房"
整租·德华二村 1室1厅 南,嘉定,南翔,德华二村,40,南,1室1厅1卫,高楼层                        ,6,"新上,精装,随时看房"
整租·罗阳七村(华宝小区) 2室1厅 南,闵行,梅陇,罗阳七村(华宝小区),52,南,2室1厅1卫,高楼层                        ,6,"近地铁,随时看房"
整租·今天花园 2室2厅 南,闵行,颛桥,今天花园,98,南,2室2厅1卫,中楼层                        ,8,"精装,随时看房"
整租·平阳新村四街坊 1室1厅 南,闵行,古美,平阳新村四街坊,64,南,1室1厅1卫,高楼层                        ,5,随时看房
整租·夏朵园 2室2厅 南,闵行,老闵行,夏朵园,88,南,2室2厅1卫,高楼层                        ,5,"新上,随时看房"
整租·中梅苑 2室2厅 南,闵行,梅陇,中梅苑,95,南,2室2厅1卫,低楼层                        ,14,"精装,随时看房"
整租·御翠豪庭 1室2厅 南,长宁,古北,御翠豪庭,71,南,1室2厅1卫,低楼层                        ,32,"近地铁,精装,随时看房"
整租·丽都城假日景苑 2室2厅 南,闵行,老闵行,丽都城假日景苑,93,南,2室2厅1卫,高楼层                        ,6,"新上,近地铁,随时看房"
整租·上海春城 2室2厅 南,闵行,春申,上海春城,95,南,2室2厅1卫,高楼层                        ,10,随时看房
整租·江中公寓 2室2厅 南,松江,松江新城,江中公寓,94,南,2室2厅1卫,高楼层                        ,6,"新上,近地铁,随时看房"
整租·国际丽都城 2室2厅 南/北,静安,南京西路,国际丽都城,128,南 北,2室2厅2卫,低楼层                        ,27,"近地铁,精装,双卫生间,随时看房"
整租·金外滩花园 3室2厅 南,黄浦,黄浦滨江,金外滩花园,162,南,3室2厅2卫,低楼层                        ,27,"新上,近地铁,精装,双卫生间,随时看房"
整租·金地格林世界格林公馆(酒店式公寓) 1室1厅 南,嘉定,南翔,金地格林世界格林公馆(酒店式公寓),61,南,1室1厅1卫,高楼层                        ,12,"近地铁,精装,随时看房"
整租·高兴花园 2室1厅 南,闵行,春申,高兴花园,66,南,2室1厅1卫,高楼层                        ,6,随时看房
整租·金台苑 2室2厅 南/北,浦东,金杨,金台苑,97,南 北,2室2厅2卫,高楼层                        ,6,"近地铁,双卫生间,随时看房"
整租·方舟园四村 4室2厅 南/北,松江,松江老城,方舟园四村,152,南 北,4室2厅2卫,高楼层                        ,6,"近地铁,双卫生间,随时看房"
整租·园艺新村 1室1厅 南,闵行,七宝,园艺新村,43,南,1室1厅1卫,中楼层                        ,6,"新上,随时看房"
整租·万科七宝国际 2室1厅 南,闵行,七宝,万科七宝国际,45,南,2室1厅2卫,高楼层                        ,8,"近地铁,双卫生间,随时看房"
整租·康怡苑 2室0厅 南/东北,普陀,长寿路,康怡苑,70,南 东北,2室0厅1卫,中楼层                        ,26,"近地铁,随时看房"
整租·黄山始信苑 2室1厅 南,浦东,金杨,黄山始信苑,81,南,2室1厅1卫,高楼层                        ,6,"近地铁,精装,随时看房"
整租·华菁公寓 2室1厅 东/西,闵行,航华,华菁公寓,76,东 西,2室1厅1卫,中楼层                        ,13,随时看房
整租·西林小区 2室1厅 南,松江,松江老城,西林小区,74,南,2室1厅1卫,高楼层                        ,6,随时看房
整租·万泰花园 1室1厅 南,闵行,七宝,万泰花园,48,南,1室1厅1卫,高楼层                        ,6,随时看房
整租·上海阳城 1室1厅 南,闵行,梅陇,上海阳城,50,南,1室1厅1卫,中楼层                        ,6,"近地铁,随时看房"
整租·三盛颐景园(公寓) 2室1厅 南,松江,九亭,三盛颐景园(公寓),99,南,2室1厅1卫,高楼层                        ,5,"精装,随时看房"
整租·金谊河畔 2室2厅 南,浦东,三林,金谊河畔,113,南,2室2厅1卫,中楼层                        ,17,"近地铁,随时看房"
整租·白浪新村 1室1厅 南,闵行,七宝,白浪新村,48,南,1室1厅1卫,高楼层                        ,6,"近地铁,精装,随时看房"
整租·春申景城湖滨晨韵 2室1厅 南,闵行,春申,春申景城湖滨晨韵,67,南,2室1厅1卫,低楼层                        ,17,随时看房
整租·罗阳四村 1室0厅 南,闵行,梅陇,罗阳四村,33,南,1室0厅1卫,高楼层                        ,6,"新上,随时看房"
整租·沁春路1122弄 3室1厅 南,闵行,莘庄,沁春路1122弄,93,南,3室1厅1卫,低楼层                        ,6,"近地铁,随时看房"
整租·梅陇五村 2室1厅 南/西,徐汇,华东理工,梅陇五村,52,南 西,2室1厅1卫,中楼层                        ,6,"新上,随时看房"
整租·杜鹃园 2室1厅 南,徐汇,康健,杜鹃园,59,南,2室1厅1卫,高楼层                        ,6,"新上,近地铁,精装,随时看房"
整租·明中龙祥家园(公寓) 2室1厅 南,松江,莘闵别墅,明中龙祥家园(公寓),68,南,2室1厅1卫,高楼层                        ,18,"精装,随时看房"
整租·静安新城十区 2室1厅 南,闵行,静安新城,静安新城十区,71,南,2室1厅1卫,中楼层                        ,6,随时看房
整租·园南二村 2室1厅 南,徐汇,植物园,园南二村,58,南,2室1厅1卫,高楼层                        ,6,"新上,随时看房"
整租·长桥五村 2室1厅 南,徐汇,长桥,长桥五村,62,南,2室1厅1卫,中楼层                        ,6,"新上,随时看房"
整租·长丰坊 1室1厅 南,徐汇,康健,长丰坊,44,南,1室1厅1卫,高楼层                        ,6,"新上,随时看房"
整租·仁恒河滨花园 3室2厅 北,长宁,天山,仁恒河滨花园,123,北,3室2厅1卫,低楼层                        ,27,"新上,近地铁,精装,随时看房"
整租·紫金花园 2室2厅 南,松江,九亭,紫金花园,99,南,2室2厅1卫,高楼层                        ,14,"精装,随时看房"
整租·三湘森林海尚(嘉定) 2室2厅 南,嘉定,南翔,三湘森林海尚(嘉定),90,南,2室2厅1卫,中楼层                        ,18,"精装,随时看房"
整租·万科假日风景(公寓) 3室2厅 南,闵行,莘庄,万科假日风景(公寓),129,南,3室2厅2卫,高楼层                        ,6,"精装,双卫生间,随时看房"
整租·陆家嘴花园(一期) 2室1厅 南,浦东,源深,陆家嘴花园(一期),105,南,2室1厅1卫,低楼层                        ,9,"近地铁,精装,随时看房"
整租·新南路壹号(公寓) 3室2厅 南,松江,莘闵别墅,新南路壹号(公寓),105,南,3室2厅2卫,低楼层                        ,12,"精装,双卫生间,随时看房"
整租·爱博二村 2室2厅 南,闵行,华漕,爱博二村,106,南,2室2厅1卫,低楼层                        ,13,"精装,随时看房"
整租·三盛颐景园(公寓) 3室2厅 南,松江,九亭,三盛颐景园(公寓),110,南,3室2厅1卫,中楼层                        ,8,"精装,随时看房"
整租·龙柏香榭苑 2室2厅 东南,闵行,龙柏,龙柏香榭苑,106,东南,2室2厅1卫,中楼层                        ,13,"近地铁,随时看房"
整租·珠江玫瑰花园(公寓) 2室1厅 南,浦东,源深,珠江玫瑰花园(公寓),96,南,2室1厅1卫,中楼层                        ,24,"精装,随时看房"
整租·东方城市花园(二期) 2室2厅 南,浦东,南码头,东方城市花园(二期),121,南,2室2厅1卫,高楼层                        ,24,"新上,近地铁,精装,随时看房"
整租·金桥都市花园 3室2厅 南,浦东,金桥,金桥都市花园,126,南,3室2厅2卫,低楼层                        ,11,"近地铁,精装,双卫生间,随时看房"
整租·绿庭尚城 2室2厅 南,松江,九亭,绿庭尚城,94,南,2室2厅1卫,中楼层                        ,27,"精装,随时看房"
整租·大上海国际花园十四区 3室2厅 南,闵行,静安新城,大上海国际花园十四区,103,南,3室2厅1卫,中楼层                        ,6,"近地铁,精装,随时看房"
整租·上海源花城 2室2厅 南,松江,九亭,上海源花城,103,南,2室2厅1卫,低楼层                        ,17,"新上,精装,随时看房"
整租·BPC陆家嘴创业街区 2室1厅 南,浦东,洋泾,BPC陆家嘴创业街区,60,南,2室1厅1卫,高楼层                        ,17,"近地铁,精装,随时看房"
整租·虹桥帝梵尼 3室2厅 南,闵行,金虹桥,虹桥帝梵尼,131,南,3室2厅1卫,中楼层                        ,7,"精装,随时看房"
整租·长青坊 1室0厅 南,徐汇,康健,长青坊,39,南,1室0厅1卫,中楼层                        ,6,随时看房
整租·象屿都城 3室2厅 南,松江,九亭,象屿都城,89,南,3室2厅1卫,低楼层                        ,14,随时看房
整租·九城湖滨国际 3室2厅 南/北,松江,九亭,九城湖滨国际,123,南 北,3室2厅2卫,中楼层                        ,14,"精装,双卫生间,随时看房"
整租·旭辉新构想 3室2厅 南,浦东,洋泾,旭辉新构想,137,南,3室2厅2卫,高楼层                        ,24,"近地铁,精装,双卫生间,随时看房"
整租·静安新城七区 2室2厅 南,闵行,静安新城,静安新城七区,95,南,2室2厅2卫,高楼层                        ,12,"近地铁,精装,双卫生间,随时看房"
整租·金坤花园 2室2厅 南,闵行,金汇,金坤花园,98,南,2室2厅1卫,中楼层                        ,6,"近地铁,随时看房"
整租·嘉和花苑 2室2厅 南,闵行,梅陇,嘉和花苑,91,南,2室2厅1卫,低楼层                        ,11,"近地铁,随时看房"
整租·东方城市花园(二期) 2室2厅 南,浦东,南码头,东方城市花园(二期),108,南,2室2厅1卫,高楼层                        ,31,"近地铁,精装,随时看房"
整租·上海源花城 2室2厅 南,松江,九亭,上海源花城,95,南,2室2厅1卫,高楼层                        ,11,"精装,随时看房"
整租·朗庭上郡苑(公寓) 3室2厅 南,松江,九亭,朗庭上郡苑(公寓),89,南,3室2厅1卫,低楼层                        ,11,"精装,随时看房"
整租·上海源花城 2室2厅 南,松江,九亭,上海源花城,105,南,2室2厅1卫,低楼层                        ,17,"精装,随时看房"
整租·国亭花苑 3室2厅 南,松江,九亭,国亭花苑,106,南,3室2厅1卫,中楼层                        ,6,随时看房
整租·贝尚湾(公寓) 2室2厅 南,松江,九亭,贝尚湾(公寓),92,南,2室2厅1卫,中楼层                        ,16,"精装,随时看房"
整租·象屿都城 3室2厅 南,松江,九亭,象屿都城,99,南,3室2厅1卫,高楼层                        ,14,"精装,随时看房"
整租·奥林匹克花园 3室2厅 南,松江,九亭,奥林匹克花园,143,南,3室2厅2卫,高楼层                        ,5,"精装,双卫生间,随时看房"
整租·都市星城 2室2厅 南,闵行,莘庄,都市星城,87,南,2室2厅1卫,高楼层                        ,10,"近地铁,随时看房"
整租·贝尚湾(公寓) 2室2厅 南,松江,九亭,贝尚湾(公寓),98,南,2室2厅1卫,中楼层                        ,17,"精装,随时看房"
整租·东方城市花园(一期) 3室2厅 南/北,浦东,塘桥,东方城市花园(一期),133,南 北,3室2厅2卫,中楼层                        ,11,"近地铁,双卫生间,随时看房"
整租·湖畔天下 3室2厅 南/北,嘉定,南翔,湖畔天下,113,南 北,3室2厅2卫,中楼层                        ,19,"精装,双卫生间,随时看房"
整租·云山星座苑 2室2厅 南,浦东,金杨,云山星座苑,95,南,2室2厅1卫,中楼层                        ,13,"近地铁,精装,随时看房"
整租·虹景苑 1室1厅 南/北,闵行,春申,虹景苑,50,南 北,1室1厅1卫,高楼层                        ,6,"新上,随时看房"
整租·双柏小区 1室1厅 南,闵行,吴泾,双柏小区,39,南,1室1厅1卫,高楼层                        ,6,"新上,随时看房"
整租·虹景苑 1室1厅 南/北,闵行,春申,虹景苑,50,南 北,1室1厅1卫,高楼层                        ,6,"新上,随时看房"
整租·森林公馆乐莫苑 2室1厅 北,松江,松江老城,森林公馆乐莫苑,35,北,2室1厅1卫,低楼层                        ,6,"新上,随时看房"
整租·大木桥路450弄 2室1厅 东/东南,徐汇,斜土路,大木桥路450弄,61,东 东南,2室1厅1卫,中楼层                        ,9,"近地铁,随时看房"
整租·茶陵小区 2室0厅 南,徐汇,斜土路,茶陵小区,54,南,2室0厅1卫,低楼层                        ,6,"新上,近地铁,随时看房"
整租·六里二村 2室0厅 南,浦东,世博,六里二村,45,南,2室0厅1卫,高楼层                        ,6,"新上,近地铁,随时看房"
整租·航东路750弄 1室1厅 南,闵行,航华,航东路750弄,45,南,1室1厅1卫,高楼层                        ,6,随时看房
整租·佳乐苑 2室1厅 南,青浦,夏阳,佳乐苑,73,南,2室1厅1卫,高楼层                        ,6,"新上,随时看房"
整租·金杨六街坊 1室1厅 南,浦东,金杨,金杨六街坊,41,南,1室1厅1卫,高楼层                        ,6,"新上,近地铁,随时看房"
整租·鹤北新村 1室1厅 南,闵行,老闵行,鹤北新村,37,南,1室1厅1卫,中楼层                        ,6,"近地铁,精装,随时看房"
整租·德州一村 2室0厅 东南/南,浦东,世博,德州一村,49,东南 南,2室0厅1卫,高楼层                        ,6,"近地铁,随时看房"
整租·海尚名都 2室2厅 南,松江,松江老城,海尚名都,90,南,2室2厅1卫,中楼层                        ,21,"新上,随时看房"
整租·古美小区 1室1厅 南,闵行,古美,古美小区,42,南,1室1厅1卫,高楼层                        ,6,"新上,近地铁,随时看房"
整租·华梅花苑 1室1厅 南,闵行,古美,华梅花苑,55,南,1室1厅1卫,高楼层                        ,6,"新上,近地铁,随时看房"
整租·海伦堡爱ME城市 1室1厅 南,嘉定,南翔,海伦堡爱ME城市,71,南,1室1厅1卫,中楼层                        ,31,"新上,随时看房"
整租·报春二村 2室1厅 南,闵行,莘庄,报春二村,62,南,2室1厅1卫,中楼层                        ,6,"新上,随时看房"
整租·夏朵园 2室2厅 南/北,闵行,老闵行,夏朵园,96,南 北,2室2厅1卫,高楼层                        ,6,"新上,精装,随时看房"
整租·万科白马花园(公寓) 3室2厅 南/北,松江,莘闵别墅,万科白马花园(公寓),88,南 北,3室2厅1卫,中楼层                        ,5,"新上,精装,随时看房"
整租·西环二村 2室1厅 南,闵行,莘庄,西环二村,69,南,2室1厅1卫,高楼层                        ,6,"新上,随时看房"
整租·银都新村(8至10区) 2室1厅 南,闵行,颛桥,银都新村(8至10区),63,南,2室1厅1卫,高楼层                        ,6,"新上,随时看房"
整租·九城湖滨国际 1室1厅 南,松江,九亭,九城湖滨国际,60,南,1室1厅1卫,低楼层                        ,16,"精装,随时看房"
整租·银厦花园 2室1厅 南/北,闵行,莘庄,银厦花园,80,南 北,2室1厅1卫,中楼层                        ,15,"新上,精装,随时看房"
整租·维罗纳贵都 3室2厅 南,松江,松江老城,维罗纳贵都,92,南,3室2厅1卫,中楼层                        ,14,"新上,随时看房"
整租·莘松三村 2室0厅 南,闵行,莘庄,莘松三村,54,南,2室0厅1卫,高楼层                        ,5,随时看房
整租·禹洲府 2室1厅 南,闵行,老闵行,禹洲府,77,南,2室1厅1卫,中楼层                        ,20,"新上,精装,随时看房"
整租·三佳花苑 2室1厅 南,闵行,七宝,三佳花苑,52,南,2室1厅1卫,高楼层                        ,6,"近地铁,随时看房"
整租·西环二村 2室1厅 南,闵行,莘庄,西环二村,69,南,2室1厅1卫,高楼层                        ,6,随时看房
整租·航华一村 2室1厅 南,闵行,航华,航华一村,59,南,2室1厅1卫,高楼层                        ,6,随时看房
整租·东苑绿世界花园(三期) 3室2厅 南,闵行,古美,东苑绿世界花园(三期),133,南,3室2厅2卫,高楼层                        ,14,"新上,近地铁,双卫生间,随时看房"
整租·嘉和阳光城 2室2厅 南,松江,九亭,嘉和阳光城,104,南,2室2厅1卫,高楼层                        ,14,"近地铁,精装,随时看房"
整租·上海春城 3室2厅 南,闵行,春申,上海春城,130,南,3室2厅2卫,中楼层                        ,6,"精装,双卫生间,随时看房"
整租·红旗四街坊 2室1厅 南,闵行,老闵行,红旗四街坊,77,南,2室1厅1卫,中楼层                        ,6,"新上,随时看房"
整租·金地格林世界(格林公馆) 2室1厅 南,嘉定,南翔,金地格林世界(格林公馆),69,南,2室1厅1卫,中楼层                        ,22,"新上,随时看房"
整租·冠生园路237弄 1室1厅 南,徐汇,康健,冠生园路237弄,45,南,1室1厅1卫,高楼层                        ,6,"新上,近地铁,随时看房"
整租·大连小区 2室1厅 东,虹口,临平路,大连小区,78,东,2室1厅1卫,高楼层                        ,25,"新上,近地铁"
整租·新风小区 1室1厅 南,长宁,中山公园,新风小区,37,南,1室1厅1卫,高楼层                        ,6,"新上,近地铁,随时看房"
整租·龙南七村 1室1厅 南,徐汇,龙华,龙南七村,35,南,1室1厅1卫,中楼层                        ,6,"新上,近地铁,精装"
整租·汇成一村 1室0厅 南,徐汇,上海南站,汇成一村,34,南,1室0厅1卫,中楼层                        ,6,"新上,随时看房"
整租·丹桂佳苑 1室1厅 南/北,浦东,惠南,丹桂佳苑,55,南 北,1室1厅1卫,中楼层                        ,6,新上
整租·西南新村 2室1厅 南/北,浦东,惠南,西南新村,39,南 北,2室1厅1卫,低楼层                        ,5,新上
整租·虹桥高登花园 1室1厅 南,长宁,西郊,虹桥高登花园,41,南,1室1厅1卫,低楼层                        ,6,"新上,精装,随时看房"
整租·鞍山路215弄 1室0厅 南,杨浦,鞍山,鞍山路215弄,35,南,1室0厅1卫,低楼层                        ,5,"新上,近地铁"
整租·滨江小区 1室1厅 南,徐汇,徐汇滨江,滨江小区,61,南,1室1厅1卫,高楼层                        ,6,"新上,近地铁,随时看房"
整租·共康四村 1室1厅 南,静安,彭浦,共康四村,37,南,1室1厅1卫,高楼层                        ,6,新上
整租·市光四村 1室1厅 南,杨浦,中原,市光四村,42,南,1室1厅1卫,中楼层                        ,6,"新上,近地铁"
整租·大吉路310弄 1室0厅 西南,黄浦,老西门,大吉路310弄,20,西南,1室0厅1卫,高楼层                        ,2,"新上,近地铁,随时看房"
整租·平型关路235弄 1室0厅 南,静安,闸北公园,平型关路235弄,35,南,1室0厅1卫,高楼层                        ,6,"新上,近地铁"
整租·阳光城市家园 1室1厅 北,浦东,金桥,阳光城市家园,30,北,1室1厅1卫,低楼层                        ,16,新上
整租·富特四村 3室1厅 南,浦东,外高桥,富特四村,79,南,3室1厅1卫,中楼层                        ,6,"新上,月租,近地铁"
整租·思南路115弄 1室1厅 西南,黄浦,打浦桥,思南路115弄,34,西南,1室1厅1卫,高楼层                        ,7,"新上,近地铁"
整租·天宝西路252弄 1室0厅 南,虹口,曲阳,天宝西路252弄,33,南,1室0厅1卫,低楼层                        ,5,"新上,近地铁"
整租·繁荣安居 1室1厅 南,浦东,周浦,繁荣安居,30,南,1室1厅1卫,高楼层                        ,11,新上
整租·延长中路451弄 1室1厅 南,静安,大宁,延长中路451弄,31,南,1室1厅1卫,中楼层                        ,6,"新上,近地铁"
整租·梅陇十一村 2室0厅 南/北,徐汇,华东理工,梅陇十一村,54,南 北,2室0厅1卫,中楼层                        ,6,新上
整租·控江二村 1室1厅 南,杨浦,控江路,控江二村,35,南,1室1厅1卫,高楼层                        ,5,"新上,近地铁,随时看房"
整租·工农三村 1室1厅 南,杨浦,中原,工农三村,37,南,1室1厅1卫,高楼层                        ,6,"新上,近地铁,随时看房"
整租·蓬莱路303弄 2室0厅 南/北,黄浦,豫园,蓬莱路303弄,38,南 北,2室0厅1卫,低楼层                        ,4,"新上,近地铁,精装,随时看房"
整租·荡湾新村 2室1厅 南,浦东,惠南,荡湾新村,52,南,2室1厅1卫,高楼层                        ,5,新上
整租·江宁路906弄 1室1厅 南,静安,江宁路,江宁路906弄,33,南,1室1厅1卫,高楼层                        ,7,"新上,近地铁,随时看房"
整租·天山五村(旧) 1室0厅 南,长宁,天山,天山五村(旧),32,南,1室0厅1卫,中楼层                        ,4,"新上,近地铁,随时看房"
整租·铁岭大楼 1室1厅 南,杨浦,鞍山,铁岭大楼,34,南,1室1厅1卫,高楼层                        ,5,"新上,近地铁,随时看房"
整租·邮电新村 1室0厅 南,虹口,曲阳,邮电新村,32,南,1室0厅1卫,高楼层                        ,5,"新上,近地铁"
整租·新泾二村 1室0厅 南/北,长宁,北新泾,新泾二村,32,南 北,1室0厅1卫,高楼层                        ,6,"新上,近地铁,随时看房"
整租·园南三村 1室1厅 南,徐汇,植物园,园南三村,43,南,1室1厅1卫,高楼层                        ,6,"新上,随时看房"
整租·惠益新苑 2室1厅 南,浦东,惠南,惠益新苑,78,南,2室1厅1卫,中楼层                        ,18,"新上,随时看房"
整租·康平小区 2室0厅 南,静安,彭浦,康平小区,49,南,2室0厅1卫,高楼层                        ,6,"新上,近地铁,随时看房"
整租·新丰小区 1室1厅 南,静安,江宁路,新丰小区,35,南,1室1厅1卫,高楼层                        ,7,"新上,近地铁,精装"
整租·华苑小区 1室0厅 南,长宁,中山公园,华苑小区,28,南,1室0厅1卫,高楼层                        ,5,"新上,近地铁"
整租·保德路425弄 1室0厅 南,静安,彭浦,保德路425弄,27,南,1室0厅1卫,中楼层                        ,6,"新上,随时看房"
整租·番禺大厦 1室0厅 南,长宁,新华路,番禺大厦,34,南,1室0厅1卫,低楼层                        ,29,"新上,近地铁,精装,随时看房"
整租·打浦路339弄 1室0厅 北,黄浦,打浦桥,打浦路339弄,25,北,1室0厅1卫,中楼层                        ,5,"新上,近地铁"
整租·奔腾新干线 1室1厅 东南,静安,西藏北路,奔腾新干线,41,东南,1室1厅1卫,中楼层                        ,32,"新上,近地铁"
整租·定西路615弄 1室0厅 东,长宁,新华路,定西路615弄,35,东,1室0厅1卫,低楼层                        ,6,"新上,近地铁,精装"
整租·中行小区 1室0厅 南,静安,曹家渡,中行小区,30,南,1室0厅1卫,低楼层                        ,4,"新上,近地铁,随时看房"
整租·和源名城 1室1厅 南,静安,彭浦,和源名城,51,南,1室1厅1卫,低楼层                        ,33,新上
整租·桃浦六村樱花苑 1室1厅 南,普陀,桃浦,桃浦六村樱花苑,43,南,1室1厅1卫,低楼层                        ,6,"新上,近地铁"
整租·丰三小区 1室1厅 南,徐汇,龙华,丰三小区,68,南,1室1厅1卫,高楼层                        ,6,"新上,近地铁"
整租·古宋小区 1室1厅 南,长宁,仙霞,古宋小区,45,南,1室1厅1卫,高楼层                        ,6,近地铁
整租·云树仁居 2室2厅 南,浦东,泥城镇,云树仁居,82,南,2室2厅1卫,低楼层                        ,6,新上
整租·闸北场中公寓 2室1厅 南,静安,永和,闸北场中公寓,52,南,2室1厅1卫,低楼层                        ,6,"新上,近地铁"
整租·安东小区 1室1厅 南,长宁,新华路,安东小区,35,南,1室1厅1卫,高楼层                        ,6,近地铁
整租·中福花苑 2室1厅 西,黄浦,蓬莱公园,中福花苑,49,西,2室1厅1卫,中楼层                        ,19,"新上,近地铁,精装"
整租·复兴中路1218弄 1室1厅 东南,徐汇,衡山路,复兴中路1218弄,13,东南,1室1厅1卫,高楼层                        ,2,"新上,近地铁,精装,随时看房"
整租·鞍山一村 1室0厅 南,杨浦,鞍山,鞍山一村,35,南,1室0厅1卫,高楼层                        ,5,"新上,近地铁"
整租·百龙小区 1室1厅 南,徐汇,植物园,百龙小区,42,南,1室1厅1卫,高楼层                        ,6,"新上,随时看房"
整租·敦化路6弄 1室0厅 西,杨浦,控江路,敦化路6弄,29,西,1室0厅1卫,中楼层                        ,5,"新上,近地铁,随时看房"
整租·敦化路6弄 1室0厅 西,杨浦,控江路,敦化路6弄,29,西,1室0厅1卫,中楼层                        ,5,"新上,近地铁,随时看房"
整租·康平小区 2室0厅 南,静安,彭浦,康平小区,43,南,2室0厅1卫,高楼层                        ,6,"新上,近地铁"
整租·云树仁居 1室1厅 南,浦东,泥城镇,云树仁居,61,南,1室1厅1卫,低楼层                        ,6,新上
整租·卫星东路50弄 2室1厅 南,浦东,惠南,卫星东路50弄,38,南,2室1厅2卫,中楼层                        ,4,"新上,双卫生间"
整租·天原二村 1室1厅 南,长宁,天山,天原二村,34,南,1室1厅1卫,中楼层                        ,5,"新上,近地铁,精装"
整租·会文路101号 1室1厅 南,静安,西藏北路,会文路101号,35,南,1室1厅1卫,高楼层                        ,7,"新上,近地铁,随时看房"
整租·粤秀苑 1室1厅 南/北,静安,大宁,粤秀苑,41,南 北,1室1厅1卫,高楼层                        ,6,新上
整租·长新小区(长宁) 1室1厅 南,长宁,中山公园,长新小区(长宁),36,南,1室1厅1卫,高楼层                        ,6,"新上,近地铁,随时看房"
整租·瑞冬小区 1室1厅 南,长宁,北新泾,瑞冬小区,41,南,1室1厅1卫,低楼层                        ,6,"新上,近地铁"
整租·瞿溪新村 1室0厅 南,黄浦,世博滨江,瞿溪新村,29,南,1室0厅1卫,中楼层                        ,6,"新上,近地铁"
整租·西凌新邨 1室1厅 北,黄浦,蓬莱公园,西凌新邨,30,北,1室1厅1卫,高楼层                        ,7,"新上,近地铁,随时看房"
整租·天山五村(旧) 1室0厅 南,长宁,天山,天山五村(旧),36,南,1室0厅1卫,中楼层                        ,6,"新上,近地铁"
整租·场中小区 2室1厅 南/北,静安,彭浦,场中小区,52,南 北,2室1厅1卫,高楼层                        ,7,"新上,近地铁"
整租·闻喜路251弄 1室1厅 南,静安,彭浦,闻喜路251弄,38,南,1室1厅1卫,高楼层                        ,6,新上
整租·长兴坊 1室1厅 南,徐汇,康健,长兴坊,46,南,1室1厅1卫,中楼层                        ,6,"新上,精装"
整租·大同路119号 1室0厅 南,浦东,外高桥,大同路119号,46,南,1室0厅1卫,高楼层                        ,5,"新上,近地铁"
整租·漕溪一村 1室0厅 南,徐汇,万体馆,漕溪一村,20,南,1室0厅0卫,高楼层                        ,5,近地铁
整租·柳江街19号 1室0厅 南,黄浦,豫园,柳江街19号,23,南,1室0厅1卫,中楼层                        ,6,"新上,近地铁,精装"
整租·广中三村 1室0厅 北,虹口,凉城,广中三村,27,北,1室0厅1卫,高楼层                        ,4,"新上,近地铁,随时看房"
整租·中行小区 1室0厅 北,静安,曹家渡,中行小区,24,北,1室0厅1卫,低楼层                        ,4,"新上,近地铁,精装,随时看房"
整租·虹日小区 1室0厅 南,长宁,虹桥,虹日小区,35,南,1室0厅1卫,高楼层                        ,6,"新上,近地铁,随时看房"
整租·安顺路231弄 1室1厅 南,长宁,新华路,安顺路231弄,36,南,1室1厅1卫,低楼层                        ,6,"新上,近地铁"
整租·科兰公寓 1室1厅 南,虹口,凉城,科兰公寓,39,南,1室1厅1卫,中楼层                        ,6,新上
整租·谈家桥路80弄 1室1厅 南,静安,大宁,谈家桥路80弄,41,南,1室1厅1卫,低楼层                        ,6,"新上,近地铁"
整租·控江路1200弄 1室1厅 北,杨浦,控江路,控江路1200弄,22,北,1室1厅1卫,中楼层                        ,5,"新上,近地铁,随时看房"
整租·龙南七村 1室1厅 南,徐汇,龙华,龙南七村,41,南,1室1厅1卫,高楼层                        ,6,"新上,近地铁"
整租·临汾路1564弄 1室1厅 南,静安,彭浦,临汾路1564弄,40,南,1室1厅1卫,低楼层                        ,6,新上
整租·双辽支路70弄 1室0厅 南,杨浦,鞍山,双辽支路70弄,37,南,1室0厅1卫,高楼层                        ,7,"新上,近地铁,随时看房"
整租·靖宇南路5弄 1室1厅 南,杨浦,控江路,靖宇南路5弄,34,南,1室1厅1卫,中楼层                        ,6,"新上,近地铁"
整租·兴泉小区 1室0厅 南/北,静安,彭浦,兴泉小区,41,南 北,1室0厅1卫,高楼层                        ,6,新上
整租·蒙西小区 1室0厅 南,黄浦,五里桥,蒙西小区,34,南,1室0厅1卫,高楼层                        ,6,"新上,近地铁,精装"
整租·丽泽菊清苑 2室2厅 南,浦东,书院镇,丽泽菊清苑,80,南,2室2厅1卫,高楼层                        ,6,新上
整租·绿园五村 1室1厅 南,长宁,西郊,绿园五村,45,南,1室1厅1卫,中楼层                        ,6,新上
整租·蒙西小区 1室0厅 南,黄浦,五里桥,蒙西小区,39,南,1室0厅1卫,高楼层                        ,7,"新上,近地铁,精装,随时看房"
整租·临汾路828弄 1室0厅 南,静安,彭浦,临汾路828弄,41,南,1室0厅1卫,中楼层                        ,6,"新上,近地铁"
整租·华发小区 1室0厅 南,徐汇,华泾,华发小区,48,南,1室0厅1卫,高楼层                        ,6,新上
整租·蒙自路395弄 1室1厅 南,黄浦,五里桥,蒙自路395弄,38,南,1室1厅1卫,高楼层                        ,7,"新上,近地铁"
整租·丽园路694弄 1室0厅 北,黄浦,五里桥,丽园路694弄,27,北,1室0厅1卫,高楼层                        ,7,"新上,近地铁"
